Symbol,Name,LastPrice,MarketCap,ADR TSO,IPOyear,Sector,Industry
DEPO,"Depomed, Inc.",6.51,413953980.5,n/a,n/a,Health Care,Major Pharmaceuticals
DERM,"Dermira, Inc.",9.56,400066698.4,n/a,2014,Health Care,Major Pharmaceuticals
DEST,Destination Maternity Corporation,3.07,46064327.69,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores
DXLG,"Destination XL Group, Inc.",1.8,88224433.2,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores
DSWL,"Deswell Industries, Inc.",3.06,48608831.34,n/a,1995,Consumer Non-Durables,Plastic Products
DTRM,"Determine, Inc. ",1.67,24876094.55,n/a,n/a,Technology,Computer Software: Prepackaged Software
DXCM,"DexCom, Inc.",89.49,7882720654,n/a,2005,Health Care,Medical/Dental Instruments
DFBH,DFB Healthcare Acquisitions Corp.,9.7,80695153.6,n/a,2018,Finance,Business Services
DFBHU,DFB Healthcare Acquisitions Corp.,10.2,0,n/a,2018,Finance,Business Services
DFBHW,DFB Healthcare Acquisitions Corp.,1.1,0,n/a,2018,Finance,Business Services
DHXM,DHX Media Ltd.,2.5,335608810,n/a,n/a,n/a,n/a
DHIL,"Diamond Hill Investment Group, Inc.",201.33,706654810.9,n/a,n/a,Finance,Investment Managers
FANG,"Diamondback Energy, Inc.",114.12,11253533881,n/a,2012,Energy,Oil & Gas Production
DCIX,Diana Containerships Inc.,1.6,11552217.6,n/a,n/a,Transportation,Marine Transportation
DRNA,"Dicerna Pharmaceuticals, Inc.",13.94,736333438.6,n/a,2014,Health Care,Major Pharmaceuticals
DFBG,Differential Brands Group Inc.,0.96,13415553.6,n/a,n/a,Consumer Non-Durables,Apparel
DFFN,Diffusion Pharmaceuticals Inc.,0.52,26273804.44,n/a,n/a,Health Care,Major Pharmaceuticals
DGII,Digi International Inc.,12.1,328529822.5,n/a,1989,Technology,Computer Communications Equipment
DMRC,Digimarc Corporation,28.7,340016936,n/a,n/a,Technology,EDP Services
DRAD,Digirad Corporation,1.75,35208456.5,n/a,2004,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
DGLY,"Digital Ally, Inc.",2.55,18187444.05,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment
APPS,"Digital Turbine, Inc.",1.68,126240834.7,n/a,n/a,Miscellaneous,Multi-Sector Companies
DCOM,"Dime Community Bancshares, Inc.",20.6,773966658.2,n/a,n/a,Finance,Savings Institutions
DIOD,Diodes Incorporated,36.54,1812031279,n/a,n/a,Technology,Semiconductors
DISCA,"Discovery, Inc.",22.77,11889189302,n/a,n/a,Consumer Services,Television Services
DISCB,"Discovery, Inc.",26,13575710226,n/a,n/a,Consumer Services,Television Services
DISCK,"Discovery, Inc.",21.47,11210403790,n/a,n/a,Consumer Services,Television Services
DISH,DISH Network Corporation,32,14956164480,n/a,1995,Consumer Services,Television Services
DVCR,Diversicare Healthcare Services Inc.,7.03,45354009.85,n/a,n/a,Health Care,Hospital/Nursing Management
SAUC,"Diversified Restaurant Holdings, Inc.",1.22,32845314.58,n/a,n/a,Consumer Services,Restaurants
DLHC,DLH Holdings Corp.,5.427,64578553.94,n/a,n/a,Technology,Professional Services
BOOM,DMC Global Inc.,45.35,674591363.1,n/a,n/a,Capital Goods,Industrial Specialties
DNBF,DNB Financial Corp,35.8,153815201.2,n/a,n/a,Finance,Major Banks
DOCU,"DocuSign, Inc.",55.99,8516584758,n/a,2018,Technology,Computer Software: Prepackaged Software
DOGZ,Dogness (International) Corporation,4.9,127400000,n/a,2017,Consumer Durables,Miscellaneous manufacturing industries
DLTR,"Dollar Tree, Inc.",81.96,19488085881,n/a,1995,Consumer Services,Department/Specialty Retail Stores
DLPN,"Dolphin Entertainment, Inc.",3.13,34548711.51,n/a,n/a,Consumer Services,Other Consumer Services
DLPNW,"Dolphin Entertainment, Inc.",0.35,0,n/a,n/a,Consumer Services,Other Consumer Services
DGICA,"Donegal Group, Inc.",14.14,399644985,n/a,n/a,Finance,Property-Casualty Insurers
DGICB,"Donegal Group, Inc.",14,395688104,n/a,1986,Finance,Property-Casualty Insurers
DMLP,"Dorchester Minerals, L.P.",19.15,618157672.1,n/a,n/a,Energy,Oil & Gas Production
DORM,"Dorman Products, Inc.",68.49,2282866011,n/a,n/a,Capital Goods,Auto Parts:O.E.M.
DOVA,"Dova Pharmaceuticals, Inc.",27.19,766520522.5,n/a,2017,Health Care,Major Pharmaceuticals
LYL,Dragon Victory International Limited,3.5706,41657001.19,n/a,2017,Finance,Finance/Investors Services
DOTA,"Draper Oakwood Technology Acquisition, Inc.",9.9,22853011.5,n/a,2017,Finance,Business Services
DOTAR,"Draper Oakwood Technology Acquisition, Inc.",0.53,0,n/a,2017,Finance,Business Services
DOTAU,"Draper Oakwood Technology Acquisition, Inc.",10.7,0,n/a,2017,Finance,Business Services
DOTAW,"Draper Oakwood Technology Acquisition, Inc.",0.55,0,n/a,2017,Finance,Business Services
DBX,"Dropbox, Inc.",30.27,12120032295,n/a,2018,Technology,Computer Software: Prepackaged Software
DCAR,"DropCar, Inc.",1.55,12108482.2,n/a,n/a,Consumer Services,Telecommunications Equipment
DRYS,DryShips Inc.,4.11,416993460.9,n/a,2005,Transportation,Marine Transportation
DSPG,"DSP Group, Inc.",13.35,302725467.8,n/a,1994,Technology,Semiconductors
DLTH,Duluth Holdings Inc.,17.78,579333723.2,n/a,2015,Consumer Services,Clothing/Shoe/Accessory Stores
DNKN,"Dunkin&#39; Brands Group, Inc.",67.02,5560496058,n/a,2011,Consumer Services,Restaurants
DRRX,DURECT Corporation,2.05,331504077.3,n/a,2000,Health Care,Major Pharmaceuticals
DXPE,"DXP Enterprises, Inc.",39.65,688865262.2,n/a,n/a,Capital Goods,Industrial Machinery/Components
DYSL,Dynasil Corporation of America,1.461,25184913.77,n/a,n/a,Capital Goods,Industrial Machinery/Components
DYNT,Dynatronics Corporation,2.975,24065959.05,n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
DVAX,Dynavax Technologies Corporation,15.65,974589602.4,n/a,2004,Health Care,Major Pharmaceuticals
ETFC,E*TRADE Financial Corporation,64.96,17143579049,n/a,n/a,Finance,Savings Institutions
SSP,E.W. Scripps Company (The),12.92,1055401208,n/a,n/a,Consumer Services,Broadcasting
EBMT,"Eagle Bancorp Montana, Inc.",19.7,107570904.4,n/a,n/a,Finance,Major Banks
EGBN,"Eagle Bancorp, Inc.",64.1,2199032869,n/a,n/a,Finance,Major Banks
EGLE,Eagle Bulk Shipping Inc.,5.72,417594371.5,n/a,n/a,Transportation,Marine Transportation
EFBI,"Eagle Financial Bancorp, Inc.",16.15,26046849.2,n/a,2017,Finance,Savings Institutions
EGRX,"Eagle Pharmaceuticals, Inc.",67.87,1006881177,n/a,2014,Health Care,Major Pharmaceuticals
EWBC,"East West Bancorp, Inc.",72.64,10525391228,n/a,n/a,Finance,Major Banks
EACQ,Easterly Acquisition Corp.,10.35,68595587.55,n/a,2015,Finance,Finance: Consumer Services
EACQU,Easterly Acquisition Corp.,10.45,0,n/a,2015,Finance,Finance: Consumer Services
EACQW,Easterly Acquisition Corp.,0.151,0,n/a,2015,Finance,Finance: Consumer Services
EML,Eastern Company (The),30.45,190769250,n/a,n/a,Capital Goods,Industrial Machinery/Components
EAST,"Eastside Distilling, Inc.",7.45,38704247.45,n/a,n/a,Consumer Non-Durables,Beverages (Production/Distribution)
EASTW,"Eastside Distilling, Inc.",2,0,n/a,n/a,Consumer Non-Durables,Beverages (Production/Distribution)
EVGBC,Eaton Vance NextShares Trust,100.02,60012000,n/a,n/a,n/a,n/a
EVSTC,Eaton Vance NextShares Trust,100.02,95019000,n/a,n/a,n/a,n/a
EVFTC,Eaton Vance NextShares Trust II,100.05,52526250,n/a,n/a,n/a,n/a
EVLMC,Eaton Vance NextShares Trust II,99.94,69958000,n/a,n/a,n/a,n/a
OKDCC,Eaton Vance NextShares Trust II,100.06,502801500,n/a,n/a,n/a,n/a
EBAY,eBay Inc.,40.45,40206411475,n/a,1998,Miscellaneous,Business Services
EBAYL,eBay Inc.,26.39,0,n/a,n/a,Miscellaneous,Business Services
EBIX,"Ebix, Inc.",75.3,2369511410,n/a,n/a,Technology,EDP Services
ELON,Echelon Corporation,4.21,19122969.33,n/a,1998,Technology,Computer Communications Equipment
ECHO,"Echo Global Logistics, Inc.",27.85,790123354.5,n/a,2009,Transportation,Oil Refining/Marketing
SATS,EchoStar Corporation,47.49,4563197417,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment
EEI,"Ecology and Environment, Inc.",13.5,58071654,n/a,1987,Consumer Services,Military/Government/Technical
ESES,"Eco-Stim Energy Solutions, Inc.",0.8,59898781.6,n/a,n/a,Energy,Oilfield Services/Equipment
EDAP,EDAP TMS S.A.,2.21,64846469.74,29342294,1997,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EDGE,"Edge Therapeutics, Inc.",0.9309,29087116.44,n/a,2015,Health Care,Major Pharmaceuticals
EDGW,"Edgewater Technology, Inc.",5.65,81326529.4,n/a,n/a,Technology,"Computer Software: Programming, Data Processing"
EDIT,"Editas Medicine, Inc.",37.81,1784797457,n/a,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EDUC,Educational Development Corporation,20,81767660,n/a,n/a,Consumer Durables,Consumer Specialties
EGAN,eGain Corporation,13.35,366772586.7,n/a,1999,Technology,Computer Software: Prepackaged Software
EGLT,Egalet Corporation,0.4529,23997957.68,n/a,2014,Health Care,Major Pharmaceuticals
EHTH,"eHealth, Inc.",22.1,419745719.9,n/a,2006,Finance,Specialty Insurers
EIGR,"Eiger BioPharmaceuticals, Inc.",14.5,152831754.5,n/a,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EKSO,"Ekso Bionics Holdings, Inc.",1.78,107431795,n/a,n/a,Capital Goods,Industrial Machinery/Components
LOCO,"El Pollo Loco Holdings, Inc.",11,424996418,n/a,2014,Consumer Services,Restaurants
EMITF,Elbit Imaging Ltd.,2.11,19392604.88,n/a,n/a,Consumer Services,Building operators
ESLT,Elbit Systems Ltd.,123.58,5283438232,n/a,n/a,Capital Goods,Military/Government/Technical
ERI,"Eldorado Resorts, Inc.",44.2,3414057283,n/a,n/a,Consumer Services,Hotels/Resorts
ESIO,"Electro Scientific Industries, Inc.",19.37,649903963.9,n/a,n/a,Miscellaneous,Industrial Machinery/Components
EA,Electronic Arts Inc.,136.91,42008497268,n/a,n/a,Technology,Computer Software: Prepackaged Software
EFII,"Electronics for Imaging, Inc.",34.28,1533026282,n/a,1992,Technology,Computer Communications Equipment
ELSE,"Electro-Sensors, Inc.",4.15,14091412.15,n/a,n/a,Capital Goods,Industrial Machinery/Components
ESBK,Elmira Savings Bank NY (The),20.4,56220972,n/a,n/a,Finance,Major Banks
ELOX,"Eloxx Pharmaceuticals, Inc.",16.95,566591684.1,n/a,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ELTK,Eltek Ltd.,4.2,8519918.4,n/a,1997,Technology,Electrical Products
EMCI,EMC Insurance Group Inc.,26.39,568475329.2,n/a,1982,Finance,Property-Casualty Insurers
EMCF,Emclaire Financial Corp,33.41,75878753.99,n/a,n/a,Finance,Major Banks
EMKR,EMCORE Corporation,5.2,142779312,n/a,1997,Technology,Semiconductors
EMMS,Emmis Communications Corporation,5.64,72736130.28,n/a,1994,Consumer Services,Broadcasting
NYNY,"Empire Resorts, Inc.",21.1,690715652.9,n/a,n/a,Consumer Services,Restaurants
ENTA,"Enanta Pharmaceuticals, Inc.",111.72,2152576160,n/a,2013,Health Care,Major Pharmaceuticals
ECPG,Encore Capital Group Inc,38.25,991338408,n/a,n/a,Finance,Finance Companies
WIRE,Encore Wire Corporation,50.3,1048460644,n/a,1992,Capital Goods,Metal Fabrications
ENDP,Endo International plc,7.81,1747806929,n/a,n/a,Health Care,Major Pharmaceuticals
ECYT,"Endocyte, Inc.",12.92,897961188.8,n/a,2011,Health Care,Major Pharmaceuticals
ELGX,"Endologix, Inc.",5.94,499021288.9,n/a,n/a,Health Care,Medical/Dental Instruments
NDRA,ENDRA Life Sciences Inc.,1.79,7022218.33,n/a,2017,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
NDRAW,ENDRA Life Sciences Inc.,0.57,0,n/a,2017,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EIGI,"Endurance International Group Holdings, Inc.",9,1284429375,n/a,2013,Technology,Computer Software: Prepackaged Software
WATT,Energous Corporation,16.6,422552186.6,n/a,2014,Technology,Radio And Television Broadcasting And Communications Equipment
EFOI,"Energy Focus, Inc.",2.415,28825671.84,n/a,n/a,Consumer Durables,Building Products
ERII,"Energy Recovery, Inc.",8.65,462804712.8,n/a,2008,Technology,Industrial Machinery/Components
EGC,"Energy XXI Gulf Coast, Inc.",7.9,262918422.7,n/a,n/a,Energy,Oil & Gas Production
ENG,ENGlobal Corporation,1.38,37969844.4,n/a,n/a,Consumer Services,Military/Government/Technical
ENPH,"Enphase Energy, Inc.",5.32,515234280.7,n/a,2012,Technology,Semiconductors
ESGR,Enstar Group Limited,214.55,4600520987,n/a,n/a,Finance,Property-Casualty Insurers
ENFC,Entegra Financial Corp.,28.55,196664248.3,n/a,2014,Finance,Banks
ENTG,"Entegris, Inc.",37.75,5350653743,n/a,2000,Consumer Non-Durables,Plastic Products
EBTC,Enterprise Bancorp Inc,41.37,483309699.8,n/a,n/a,Finance,Major Banks
EFSC,Enterprise Financial Services Corporation,56.75,1311563721,n/a,n/a,Finance,Major Banks
EPZM,"Epizyme, Inc.",15.95,1108330538,n/a,2013,Health Care,Major Pharmaceuticals
PLUS,ePlus inc.,93.2,1276792841,n/a,1996,Technology,Retail: Computer Software & Peripheral Equipment
EQIX,"Equinix, Inc.",397.42,31578107748,n/a,2000,Consumer Services,Real Estate Investment Trusts
EQFN,Equitable Financial Corp.,10.5,34835535,n/a,2015,Finance,Savings Institutions
EQBK,"Equity Bancshares, Inc.",40.97,646273808.5,n/a,2015,Finance,Major Banks
ERIC,Ericsson,7.26,2260929230,311422759,n/a,Technology,Radio And Television Broadcasting And Communications Equipment
ERIE,Erie Indemnity Company,115.32,6030067578,n/a,n/a,Finance,Specialty Insurers
ERYP,Erytech Pharma S.A.,18.62,93512377.14,5022147,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ESCA,"Escalade, Incorporated",14.3,206144367,n/a,n/a,Consumer Non-Durables,Recreational Products/Toys
ESPR,"Esperion Therapeutics, Inc.",37.93,1015977694,n/a,2013,Health Care,Major Pharmaceuticals
ESQ,"Esquire Financial Holdings, Inc.",25.25,188004505.8,n/a,2017,Finance,Commercial Banks
ESSA,"ESSA Bancorp, Inc.",16.09,189323129.8,n/a,n/a,Finance,Banks
EPIX,ESSA Pharma Inc.,3.64,21024996.72,n/a,n/a,Health Care,Major Pharmaceuticals
ESND,Essendant Inc.,14.15,532833999,n/a,n/a,Consumer Services,Paper
ESTR,"Estre Ambiental, Inc.",9.9,457875000,n/a,n/a,Public Utilities,Environmental Services
ESTRW,"Estre Ambiental, Inc.",0.64,0,n/a,n/a,Public Utilities,Environmental Services
VBND,ETF Series Solutions Trust Vident Core U.S. Bond Strategy Fund,47.748,410632800,n/a,n/a,n/a,n/a
VUSE,ETF Series Solutions Trust Vident Core US Equity ETF,34.75,528200000,n/a,n/a,n/a,n/a
VIDI,ETF Series Solutions Trust Vident International Equity Fund,27.69,0,n/a,n/a,n/a,n/a
ETSY,"Etsy, Inc.",33.43,3994066634,n/a,2015,Miscellaneous,Business Services
CLWT,Euro Tech Holdings Company Limited,6.05,12474549.45,n/a,1997,Consumer Durables,Diversified Electronic Products
EDRY,EuroDry Ltd.,7.63,1526000000,n/a,n/a,Consumer Services,Marine Transportation
EEFT,"Euronet Worldwide, Inc.",85.29,4373743099,n/a,1997,Finance,Investment Bankers/Brokers/Service
ESEA,Euroseas Ltd.,1.62,18264084.12,n/a,n/a,Transportation,Marine Transportation
EVLO,"Evelo Biosciences, Inc.",15.05,477386767.6,n/a,2018,Health Care,Major Pharmaceuticals
EVBG,"Everbridge, Inc.",47.01,1351591467,n/a,2016,Technology,Computer Software: Prepackaged Software
EVK,"Ever-Glory International Group, Inc.",3.819,56505893.45,n/a,n/a,Consumer Non-Durables,Apparel
MRAM,"Everspin Technologies, Inc.",7.87,131221885.2,n/a,2016,Technology,Semiconductors
EVLV,EVINE Live Inc.,1.29,84608954.73,n/a,n/a,Consumer Services,Catalog/Specialty Distribution
EVOP,"EVO Payments, Inc.",20.82,1569009004,n/a,2018,n/a,n/a
EVFM,"Evofem Biosciences, Inc.",3.63,64480924.2,n/a,2014,Health Care,Major Pharmaceuticals
EVGN,Evogene Ltd.,3.1985,82375118.95,n/a,n/a,Basic Industries,Agricultural Chemicals
EVOK,"Evoke Pharma, Inc.",2.7,45292005.9,n/a,2013,Health Care,Major Pharmaceuticals
EOLS,"Evolus, Inc.",30.98,732379251.2,n/a,2018,Health Care,Major Pharmaceuticals
EVOL,"Evolving Systems, Inc.",3.3,39980793.6,n/a,1998,Technology,EDP Services
EXAS,Exact Sciences Corporation,63.2,7703971296,n/a,2001,Health Care,Biotechnology: Commercial Physical & Biological Resarch
FLAG,Exchange Traded Concepts Trust FLAG-Forensic Accounting Long-S,42.78,17112000,n/a,n/a,n/a,n/a
ROBO,Exchange Traded Concepts Trust ROBO Global Robotics and Automa,42.37,194902000,n/a,n/a,n/a,n/a
XELA,"Exela Technologies, Inc.",4.96,756723481.3,n/a,2015,Miscellaneous,Business Services
EXEL,"Exelixis, Inc.",19.21,5702803160,n/a,2000,Health Care,Biotechnology: Commercial Physical & Biological Resarch
EXFO,EXFO Inc,3.45,80955823.2,n/a,n/a,Capital Goods,Electrical Products
EXLS,"ExlService Holdings, Inc.",58.83,2023521210,n/a,2006,Miscellaneous,Business Services
EXPI,"eXp World Holdings, Inc.",15.765,887630416,n/a,n/a,Miscellaneous,Business Services
EXPE,"Expedia Group, Inc.",120.34,18068781559,n/a,n/a,Consumer Services,Transportation Services
EXPD,"Expeditors International of Washington, Inc.",76.09,13291408885,n/a,n/a,Transportation,Oil Refining/Marketing
EXPO,"Exponent, Inc.",103.65,5390733057,n/a,n/a,Consumer Services,Professional Services
ESRX,Express Scripts Holding Company,78.15,43898496150,n/a,1992,Health Care,Medical/Nursing Services
XOG,"Extraction Oil & Gas, Inc.",16.67,2929411115,n/a,2016,Energy,Oil & Gas Production
EXTR,"Extreme Networks, Inc.",8.62,998993910.3,n/a,1999,Technology,Computer Communications Equipment
EYEG,"Eyegate Pharmaceuticals, Inc.",0.5298,22190675.65,n/a,n/a,Health Care,Major Pharmaceuticals
EYEGW,"Eyegate Pharmaceuticals, Inc.",0.0901,0,n/a,n/a,Health Care,Major Pharmaceuticals
EYEN,"Eyenovia, Inc.",8.32,82673934.72,n/a,2018,Health Care,Major Pharmaceuticals
EYPT,"EyePoint Pharmaceuticals, Inc.",2.275,122918061.2,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments
EZPW,"EZCORP, Inc.",13.2,718930304.4,n/a,1991,Consumer Services,Other Specialty Stores
FFIV,"F5 Networks, Inc.",176.92,10812393794,n/a,1999,Technology,Computer Communications Equipment
FB,"Facebook, Inc.",188.18,5.44711E+11,n/a,2012,Technology,"Computer Software: Programming, Data Processing"
DAVE,"Famous Dave&#39;s of America, Inc.",6.95,63032038.1,n/a,n/a,Consumer Services,Restaurants
FANH,Fanhua Inc.,30.48,973807379.3,31949061,n/a,Finance,Specialty Insurers
FARM,Farmer Brothers Company,29.9,506146841.2,n/a,n/a,Consumer Non-Durables,Packaged Foods
FMAO,"Farmers & Merchants Bancorp, Inc.",42.5,393804150,n/a,n/a,Finance,Savings Institutions
FFKT,Farmers Capital Bank Corporation,54.45,409453872.3,n/a,n/a,Finance,Major Banks
FMNB,Farmers National Banc Corp.,16.3,450547012.3,n/a,n/a,Finance,Major Banks
FAMI,"FARMMI, INC.",7.95,92856000,n/a,2018,Consumer Non-Durables,Packaged Foods
FARO,"FARO Technologies, Inc.",56.3,954902104.3,n/a,1997,Capital Goods,Industrial Machinery/Components
FAST,Fastenal Company,52.94,15230247137,n/a,1987,Consumer Services,RETAIL: Building Materials
FAT,FAT Brands Inc.,7.24,73512064,n/a,2017,Consumer Services,Restaurants
FATE,"Fate Therapeutics, Inc.",11.52,608929297.9,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FBSS,"Fauquier Bankshares, Inc.",21.5348,81263785.88,n/a,n/a,Finance,Major Banks
FCRE,FC Global Realty Incorporated,0.7006,8315154.471,n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
FSAC,Federal Street Acquisition Corp.,9.7993,563459750,n/a,2017,Finance,Business Services
FSACU,Federal Street Acquisition Corp.,10.36,0,n/a,2017,Finance,Business Services
FSACW,Federal Street Acquisition Corp.,1.25,0,n/a,2017,Finance,Business Services
FNHC,FedNat Holding Company,22.79,289883717.8,n/a,n/a,Finance,Property-Casualty Insurers
FENC,Fennec Pharmaceuticals Inc.,10.93,203061824.6,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GSM,Ferroglobe PLC,10.36,1781678933,n/a,n/a,Capital Goods,Metal Fabrications
FFBW,"FFBW, Inc.",11,72737500,n/a,2017,Finance,Savings Institutions
FCSC,Fibrocell Science Inc.,2.5,19283485,n/a,n/a,Health Care,Major Pharmaceuticals
FGEN,"FibroGen, Inc",55.8,4660541662,n/a,2014,Health Care,Major Pharmaceuticals
FDBC,"Fidelity D & D Bancorp, Inc.",57.5,215710100,n/a,n/a,Finance,Major Banks
ONEQ,Fidelity Nasdaq Composite Index Tracking Stock,300.11,1593554089,n/a,n/a,n/a,n/a
LION,Fidelity Southern Corporation,25.45,688088977.8,n/a,n/a,Finance,Major Banks
FDUS,Fidus Investment Corporation,14.47,353981331.9,n/a,2011,n/a,n/a
FDUSL,Fidus Investment Corporation,25.838,0,n/a,n/a,n/a,n/a
FRGI,"Fiesta Restaurant Group, Inc.",25.95,707195160.9,n/a,n/a,Consumer Services,Restaurants
FITB,Fifth Third Bancorp,31.62,21675373275,n/a,n/a,Finance,Major Banks
FITBI,Fifth Third Bancorp,27.46,494280000,n/a,n/a,Finance,Major Banks
FNGN,"Financial Engines, Inc.",44.85,2850229296,n/a,2010,Finance,Investment Managers
FISI,"Financial Institutions, Inc.",33.7,536012485.5,n/a,1999,Finance,Major Banks
FNSR,Finisar Corporation,17.38,1993396771,n/a,1999,Technology,Semiconductors
FNJN,"Finjan Holdings, Inc.",2.94,81533044.32,n/a,n/a,Miscellaneous,Multi-Sector Companies
FNTE,FinTech Acquisition Corp. II,9.99,238694396.7,n/a,2017,Miscellaneous,Business Services
FNTEU,FinTech Acquisition Corp. II,10.42,0,n/a,2017,Miscellaneous,Business Services
FNTEW,FinTech Acquisition Corp. II,1.2,0,n/a,2017,Miscellaneous,Business Services
FEYE,"FireEye, Inc.",17.03,3268546187,n/a,2013,Technology,Computer peripheral equipment
FBNC,First Bancorp,42.34,1255845343,n/a,1987,Finance,Major Banks
FNLC,"First Bancorp, Inc (ME)",29.85,323855993,n/a,n/a,Finance,Major Banks
FRBA,First Bank,13.7,253928253.3,n/a,2013,n/a,n/a
BUSE,First Busey Corporation,32.86,1601055327,n/a,n/a,Finance,Major Banks
FBIZ,"First Business Financial Services, Inc.",26.1,228751362,n/a,n/a,Finance,Major Banks
FCAP,"First Capital, Inc.",36.71,123234148.4,n/a,n/a,Finance,Savings Institutions
FCFS,"First Cash, Inc.",94.15,4275845034,n/a,1991,Consumer Services,Other Specialty Stores
FCBP,First Choice Bancorp,28.85,207899735.5,n/a,n/a,Finance,Major Banks
FCNCA,"First Citizens BancShares, Inc.",446.99,5368530931,n/a,n/a,Finance,Major Banks
FCBC,"First Community Bancshares, Inc.",35.32,592329574.4,n/a,n/a,Finance,Major Banks
FCCO,First Community Corporation,24.1,183176629,n/a,n/a,Finance,Major Banks
FBNK,"First Connecticut Bancorp, Inc.",26.75,427730574,n/a,2011,Finance,Banks
FDEF,First Defiance Financial Corp.,64.25,655160462.5,n/a,n/a,Finance,Savings Institutions
FFBC,First Financial Bancorp.,33.05,3232648295,n/a,n/a,Finance,Major Banks
FFBCW,First Financial Bancorp.,21,0,n/a,n/a,Finance,Major Banks
FFIN,"First Financial Bankshares, Inc.",55.4,3746340238,n/a,n/a,Finance,Major Banks
THFF,First Financial Corporation Indiana,44.5,545349502.5,n/a,n/a,Finance,Major Banks
FFNW,"First Financial Northwest, Inc.",20.46,220547015,n/a,n/a,Finance,Major Banks
FFWM,First Foundation Inc.,20.04,887657090.6,n/a,n/a,Finance,Major Banks
FGBI,"First Guaranty Bancshares, Inc.",27.72,244134891,n/a,n/a,Finance,Savings Institutions
FHB,"First Hawaiian, Inc.",30.85,4215129716,n/a,2016,Finance,Major Banks
INBK,First Internet Bancorp,33.25,280993256.3,n/a,n/a,Finance,Major Banks
INBKL,First Internet Bancorp,25.5615,0,n/a,n/a,Finance,Major Banks
FIBK,"First Interstate BancSystem, Inc.",44.55,2526163022,n/a,2010,Finance,Major Banks
FRME,First Merchants Corporation,47.61,2357748895,n/a,n/a,Finance,Major Banks
FMBH,"First Mid-Illinois Bancshares, Inc.",40.1,574799976.4,n/a,n/a,Finance,Major Banks
FMBI,"First Midwest Bancorp, Inc.",26.89,2771947556,n/a,n/a,Finance,Major Banks
FNWB,First Northwest Bancorp,16.47,190679679.2,n/a,2015,Finance,Banks
FSFG,"First Savings Financial Group, Inc.",69.36,158835856.6,n/a,n/a,Finance,Savings Institutions
FSLR,"First Solar, Inc.",53.28,5581783456,n/a,2006,Technology,Semiconductors
FAAR,First Trust Alternative Absolute Return Strategy ETF,29.28,10248058.56,n/a,n/a,n/a,n/a
FPA,First Trust Asia Pacific Ex-Japan AlphaDEX Fund,35.5,62125071,n/a,n/a,n/a,n/a
BICK,First Trust BICK Index Fund,28.7556,238671537.5,n/a,n/a,n/a,n/a
FBZ,First Trust Brazil AlphaDEX Fund,12.48,7488024.96,n/a,n/a,n/a,n/a
FTHI,First Trust BuyWrite Income ETF,22.98,63751138.98,n/a,n/a,n/a,n/a
FCAL,First Trust California Municipal High income ETF,50.32,15096100.64,n/a,n/a,n/a,n/a
FCAN,First Trust Canada AlphaDEX Fund,27.1148,8134494.23,n/a,n/a,n/a,n/a
FTCS,First Trust Capital Strength ETF,52.68,924534105.4,n/a,n/a,n/a,n/a
FCEF,First Trust CEF Income Opportunity ETF,21.9096,41737788,n/a,n/a,n/a,n/a
FCA,First Trust China AlphaDEX Fund,32.9443,11530570.89,n/a,n/a,n/a,n/a
SKYY,First Trust Cloud Computing ETF,53.87,1583778108,n/a,n/a,n/a,n/a
RNDM,First Trust Developed International Equity Select ETF,51.94,12985103.88,n/a,n/a,n/a,n/a
FDT,First Trust Developed Markets Ex-US AlphaDEX Fund,63.94,1346064880,n/a,n/a,n/a,n/a
FDTS,First Trust Developed Markets ex-US Small Cap AlphaDEX Fund,44.3395,15518913.68,n/a,n/a,n/a,n/a
FVC,First Trust Dorsey Wright Dynamic Focus 5 ETF,28.49,544159057,n/a,n/a,n/a,n/a
FV,First Trust Dorsey Wright Focus 5 ETF,30.56,2729008061,n/a,n/a,n/a,n/a
IFV,First Trust Dorsey Wright International Focus 5 ETF,22.18,972593044.4,n/a,n/a,n/a,n/a
DWPP,First Trust Dorsey Wright People&#39;s Portfolio ETF,29.3498,33752328.7,n/a,n/a,n/a,n/a
DALI,First Trust DorseyWright DALI 1 ETF,20.54,29783041.08,n/a,n/a,n/a,n/a
